2020/05/18 15:24:55时间:2020/05/18 15:24:51, newspider同步到172.25.1.8:6800失败
2020/05/18 15:24:59时间:2020/05/18 15:24:55, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 15:25:04时间:2020/05/18 15:25:00, splashspider同步到172.25.1.8:6800失败
2020/05/18 15:25:07时间:2020/05/18 15:25:04, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 15:30:50任务ID：4, 任务已运行, 主机: 127.0.0.1:6800 项目：newspider 爬虫: _bbs_1_www_ahbb_cc
2020/05/18 15:30:50任务ID：4, 任务已运行, 主机: 127.0.0.1:6800 项目：newspider 爬虫: _bbs_2_www_aibaimm_com
2020/05/18 15:31:10任务ID：4, 任务已停止, 主机: 127.0.0.1:6800 项目：newspider 爬虫: _bbs_1_www_ahbb_cc
2020/05/18 15:31:10任务ID：4, 任务已停止, 主机: 127.0.0.1:6800 项目：newspider 爬虫: _bbs_2_www_aibaimm_com
2020/05/18 15:42:27任务ID：4, 任务已运行, 主机: 127.0.0.1:6800 项目：newspider 爬虫: _bbs_1_www_ahbb_cc
2020/05/18 16:37:14时间:2020/05/18 16:37:10, newspider同步到172.25.1.8:6800失败
2020/05/18 16:37:17时间:2020/05/18 16:37:15, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 16:37:20时间:2020/05/18 16:37:18, newspider项目同步到172.25.1.4:6800主机成功，
2020/05/18 16:37:24时间:2020/05/18 16:37:20, splashspider同步到172.25.1.8:6800失败
2020/05/18 16:37:28时间:2020/05/18 16:37:25, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 16:37:30时间:2020/05/18 16:37:29, splashspider同步到172.25.1.4:6800失败
2020/05/18 17:37:35时间:2020/05/18 17:37:31, newspider同步到172.25.1.8:6800失败
2020/05/18 17:37:38时间:2020/05/18 17:37:36, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 17:37:43时间:2020/05/18 17:37:39, newspider同步到172.25.1.4:6800失败
2020/05/18 17:37:48时间:2020/05/18 17:37:44, splashspider同步到172.25.1.8:6800失败
2020/05/18 17:37:51时间:2020/05/18 17:37:48, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 17:37:55时间:2020/05/18 17:37:51, splashspider同步到172.25.1.4:6800失败
2020/05/18 18:38:00时间:2020/05/18 18:37:56, newspider同步到172.25.1.8:6800失败
2020/05/18 18:38:03时间:2020/05/18 18:38:01, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 18:38:08时间:2020/05/18 18:38:04, newspider同步到172.25.1.4:6800失败
2020/05/18 18:38:13时间:2020/05/18 18:38:09, splashspider同步到172.25.1.8:6800失败
2020/05/18 18:38:17时间:2020/05/18 18:38:14, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 18:38:21时间:2020/05/18 18:38:17, splashspider同步到172.25.1.4:6800失败
2020/05/18 19:38:26时间:2020/05/18 19:38:22, newspider同步到172.25.1.8:6800失败
2020/05/18 19:38:29时间:2020/05/18 19:38:27, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 19:38:34时间:2020/05/18 19:38:30, newspider同步到172.25.1.4:6800失败
2020/05/18 19:38:39时间:2020/05/18 19:38:35, splashspider同步到172.25.1.8:6800失败
2020/05/18 19:38:42时间:2020/05/18 19:38:40, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 19:38:47时间:2020/05/18 19:38:43, splashspider同步到172.25.1.4:6800失败
2020/05/18 20:38:52时间:2020/05/18 20:38:48, newspider同步到172.25.1.8:6800失败
2020/05/18 20:38:55时间:2020/05/18 20:38:52, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 20:39:00时间:2020/05/18 20:38:56, newspider同步到172.25.1.4:6800失败
2020/05/18 20:39:04时间:2020/05/18 20:39:00, splashspider同步到172.25.1.8:6800失败
2020/05/18 20:39:08时间:2020/05/18 20:39:05, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 20:39:10时间:2020/05/18 20:39:09, splashspider同步到172.25.1.4:6800失败
2020/05/18 21:39:15时间:2020/05/18 21:39:11, newspider同步到172.25.1.8:6800失败
2020/05/18 21:39:18时间:2020/05/18 21:39:16, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 21:39:20时间:2020/05/18 21:39:19, newspider同步到172.25.1.4:6800失败
2020/05/18 21:39:25时间:2020/05/18 21:39:21, splashspider同步到172.25.1.8:6800失败
2020/05/18 21:39:28时间:2020/05/18 21:39:26, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 21:39:30时间:2020/05/18 21:39:29, splashspider同步到172.25.1.4:6800失败
2020/05/18 22:39:35时间:2020/05/18 22:39:31, newspider同步到172.25.1.8:6800失败
2020/05/18 22:39:38时间:2020/05/18 22:39:36, newspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 22:39:40时间:2020/05/18 22:39:39, newspider同步到172.25.1.4:6800失败
2020/05/18 22:39:45时间:2020/05/18 22:39:41, splashspider同步到172.25.1.8:6800失败
2020/05/18 22:39:48时间:2020/05/18 22:39:46, splashspider项目同步到127.0.0.1:6800主机成功，
2020/05/18 22:39:50时间:2020/05/18 22:39:49, splashspider同步到172.25.1.4:6800失败
